"U_1_Gam_alpha2F" "U_2_Gam_alpha2F" "U_5_Gam_alpha2F" "U_10_Gam_alpha2F" "U_1_Gam_alpha1F" "U_2_Gam_alpha1F" "U_5_Gam_alpha1F" "U_10_Gam_alpha1F" "U_1_Gam" "U_2_Gam" "U_5_Gam" "U_10_Gam" "Sylvia_Sparse" "FM_RevJump" "MBC" "DPM" "FM_Raffaele" "U_1_PC_alpha2F_01" "U_2_PC_alpha2F_01" "U_5_PC_alpha2F_01" "U_10_PC_alpha2F_01" "U_1_Gam_ProbKp_01" "U_2_Gam_ProbKp_01" "U_5_Gam_ProbKp_01" "U_10_Gam_ProbKp_01" "U_1_PC_alpha2F_09" "U_2_PC_alpha2F_09" "U_5_PC_alpha2F_09" "U_10_PC_alpha2F_09" "U_1_Gam_ProbKp_09" "U_2_Gam_ProbKp_09" "U_5_Gam_ProbKp_09" "U_10_Gam_ProbKp_09"
-9 -8 -5 -1 9 9 9 9 0 0 0 0 1 1 0 -4 -6 -8 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0 -9 -7 -5 0
-8 -8 -5 -1 10 10 9 9 0 0 0 1 1 -1 0 -3 -6 -8 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0
-8 -8 -5 -1 10 9 9 9 -1 -1 0 0 1 -2 0 -3 -6 -8 -8 -5 0 -8 -8 -5 0 -8 -8 -5 0 -8 -8 -5 0
-9 -8 -5 -1 9 9 9 8 0 0 0 0 1 1 0 -4 -6 -8 -8 -5 0 -9 -8 -5 0 -8 -8 -5 0 -9 -8 -5 0
-8 -8 -5 -1 10 9 9 9 0 -1 0 0 1 0 0 -4 -6 -8 -8 -5 0 -8 -8 -5 0 -7 -8 -5 0 -8 -8 -5 0
-8 -8 -5 -1 9 9 9 8 0 0 0 0 1 0 0 -2 -5 -8 -8 -5 0 -8 -8 -5 0 -8 -8 -5 0 -8 -8 -5 0
-8 -8 -5 -2 10 10 10 9 -3 -2 -2 -1 0 -3 0 -4 -6 -8 -8 -5 0 -8 -8 -5 0 -8 -8 -5 0 -9 -8 -5 0
-8 -8 -5 -1 9 9 9 8 -1 -1 -1 0 1 -2 -3 -4 -6 -9 -8 -5 0 -9 -8 -5 0 -8 -8 -5 0 -8 -8 -5 0
-8 -8 -5 -1 9 9 9 8 0 0 0 0 1 0 0 -4 -6 -8 -8 -5 0 -8 -8 -5 0 -8 -7 -5 0 -8 -7 -5 0
-8 -8 -5 -1 9 9 9 8 0 0 0 0 1 1 1 -3 -5 -7 -7 -5 0 -8 -7 -5 0 -8 -7 -5 0 -8 -7 -5 0
-9 -8 -5 0 9 10 10 8 0 0 0 0 1 1 1 -3 -6 -8 -8 -5 0 -8 -8 -5 0 -9 -8 -5 0 -8 -8 -5 0
-9 -8 -5 -2 10 10 9 8 -1 0 0 0 1 -2 0 -3 -5 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0
-9 -8 -5 -2 10 10 9 8 0 -1 0 0 1 -2 0 -3 -5 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0
-9 -8 -5 -1 10 10 9 8 0 0 -1 0 1 -1 1 -4 -6 -9 -8 -5 0 -8 -8 -5 0 -8 -8 -5 0 -8 -8 -5 0
-9 -8 -5 -1 11 9 10 8 -1 0 -1 0 0 -1 0 -3 -6 -9 -8 -5 0 -9 -8 -5 0 -9 -9 -5 0 -9 -9 -5 0
-8 -8 -5 -1 9 10 9 9 -1 -1 0 0 1 -1 0 -4 -5 -8 -8 -5 0 -9 -8 -5 0 -8 -8 -5 0 -8 -8 -5 0
-9 -8 -5 0 10 10 10 8 0 0 0 0 1 1 0 -4 -6 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0
-9 -8 -5 -2 11 10 9 8 -2 -3 0 0 1 -3 1 -5 -6 -9 -8 -5 0 -9 -8 -5 0 -9 -9 -5 0 -9 -9 -5 0
-9 -8 -5 -1 10 10 9 8 -1 0 0 0 1 0 2 -3 -6 -9 -8 -5 0 -9 -7 -5 0 -8 -9 -5 0 -9 -9 -5 0
-9 -8 -5 -1 10 9 9 8 0 0 0 0 1 1 0 -3 -5 -9 -8 -5 0 -8 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0
-9 -8 -5 -1 10 10 9 9 0 -1 -4 -1 1 -2 0 -4 -6 -9 -8 -5 0 -9 -8 -5 0 -9 -9 -5 0 -9 -9 -5 0
-9 -8 -5 -1 9 10 9 9 0 0 0 0 0 0 0 -3 -6 -8 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0
-9 -8 -5 -1 10 9 9 9 0 0 0 0 1 0 0 -3 -5 -9 -8 -5 0 -8 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0
-9 -8 -5 -1 10 10 9 8 0 0 0 0 1 0 1 -3 -6 -9 -8 -5 0 -9 -8 -5 0 -9 -9 -5 0 -9 -9 -5 0
-9 -8 -5 -2 8 10 10 9 0 -1 -2 0 1 0 1 -4 -5 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0
-9 -7 -5 -1 11 9 9 8 0 0 0 0 1 1 1 -4 -5 -9 -7 -5 0 -8 -8 -5 0 -8 -7 -5 0 -9 -7 -5 0
-9 -8 -5 0 9 10 8 8 0 0 0 0 1 1 0 -3 -5 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0
-8 -8 -5 -1 9 9 9 8 0 0 0 0 1 0 0 -4 -6 -8 -8 -5 0 -8 -8 -5 0 -9 -8 -5 0 -8 -8 -5 0
-8 -8 -5 0 9 9 9 8 0 0 0 0 1 1 0 -4 -5 -8 -8 -5 0 -8 -8 -5 0 -8 -7 -5 0 -8 -7 -5 0
-9 -8 -5 -1 9 10 9 9 0 0 0 1 1 1 0 -3 -6 -9 -8 -5 0 -9 -8 -5 0 -8 -8 -5 0 -9 -8 -5 0
-9 -8 -5 -1 10 9 9 9 0 0 0 0 1 0 1 -3 -6 -9 -8 -5 0 -9 -8 -5 0 -9 -9 -5 0 -9 -9 -5 0
-9 -8 -5 -1 10 9 9 7 0 0 0 0 1 1 0 -3 -5 -9 -8 -5 0 -9 -8 -5 0 -9 -9 -5 0 -9 -8 -5 0
-8 -7 -5 -1 10 9 9 7 -1 -1 0 1 0 0 0 -3 -5 -7 -8 -5 0 -7 -7 -5 0 -7 -7 -5 0 -7 -7 -5 0
-8 -8 -5 -1 9 9 9 9 0 0 0 0 1 1 0 -4 -6 -9 -8 -5 0 -9 -8 -5 0 -9 -9 -5 0 -9 -9 -5 0
-9 -8 -5 0 9 9 9 7 0 0 0 1 1 0 0 -4 -5 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0
-8 -8 -5 -2 9 9 9 8 -1 0 -1 0 1 1 0 -4 -6 -7 -7 -5 0 -8 -8 -5 0 -8 -7 -5 0 -7 -6 -5 0
-9 -8 -5 -1 11 10 10 8 0 0 0 0 1 -1 0 -4 -6 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0
-9 -8 -5 -2 10 10 10 8 0 0 0 0 0 -1 0 -3 -6 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0
-8 -8 -5 -1 10 9 9 8 0 0 0 0 1 0 1 -3 -6 -8 -8 -5 0 -8 -8 -5 0 -8 -8 -5 0 -8 -8 -5 0
-9 -8 -5 -1 9 9 9 8 0 0 0 0 1 0 2 -3 -6 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0 -9 -9 -5 0
-9 -8 -5 -1 9 9 8 8 0 0 0 0 0 1 6 -3 -5 -9 -8 -5 0 -8 -8 -5 0 -8 -9 -5 0 -9 -7 -5 0
-8 -8 -5 -1 9 10 9 8 1 0 0 0 1 1 0 -4 -6 -8 -8 -5 0 -8 -7 -5 0 -8 -8 -5 0 -8 -8 -5 0
-9 -8 -5 -1 10 9 8 8 0 0 0 0 1 1 0 -3 -5 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0
-9 -8 -5 -1 9 10 9 9 0 -1 -1 0 1 -1 0 -3 -6 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0 -9 -9 -5 0
-8 -8 -5 -1 10 10 10 9 0 0 0 0 1 1 1 -3 -6 -8 -8 -5 0 -9 -8 -5 0 -8 -7 -5 0 -9 -9 -5 0
-8 -8 -5 0 9 8 8 8 0 0 0 1 1 1 0 -3 -5 -9 -8 -5 0 -8 -8 -5 0 -8 -7 -5 0 -8 -8 -5 0
-9 -8 -5 0 10 9 9 8 0 0 0 0 1 1 0 -4 -5 -9 -8 -5 0 -9 -8 -5 0 -9 -9 -5 0 -9 -8 -5 0
-8 -8 -5 -1 10 9 8 8 0 0 0 0 1 0 0 -4 -5 -8 -8 -5 0 -8 -8 -5 0 -8 -8 -5 0 -8 -8 -5 0
-8 -7 -5 -1 9 9 9 8 0 0 -1 0 1 0 0 -3 -6 -7 -7 -5 0 -8 -8 -5 0 -8 -8 -5 0 -9 -7 -5 0
-9 -8 -5 -1 9 10 10 9 0 0 0 1 1 0 0 -4 -6 -9 -8 -5 0 -9 -8 -5 0 -9 -9 -5 0 -9 -8 -5 0
-7 -7 -5 -2 10 9 9 8 -1 -2 -2 0 0 -2 -6 -5 -6 -7 -7 -5 0 -7 -7 -5 0 -8 -7 -5 0 -8 -7 -5 0
-8 -8 -5 -3 10 10 9 9 -5 -4 -4 -1 0 -3 -8 -4 -6 -9 -8 -5 0 -9 -8 -5 0 -9 -9 -5 0 -8 -8 -5 0
-8 -8 -5 -1 10 9 9 9 -3 0 0 0 1 0 1 -3 -5 -8 -8 -5 0 -8 -8 -5 0 -8 -8 -5 0 -8 -8 -5 0
-9 -8 -5 -1 9 9 9 8 0 0 0 0 1 1 0 -4 -6 -9 -8 -5 0 -9 -8 -5 0 -9 -9 -5 0 -9 -8 -5 0
-8 -8 -5 -2 10 10 10 9 -1 0 -1 0 1 -1 0 -4 -6 -8 -8 -5 0 -9 -8 -5 0 -7 -8 -5 0 -8 -8 -5 0
-9 -7 -5 -1 9 9 9 8 0 0 0 0 1 0 0 -3 -5 -8 -7 -5 0 -9 -8 -5 0 -9 -7 -5 0 -9 -8 -5 0
-9 -8 -6 -2 11 10 10 9 -6 -5 -1 -1 0 -2 -7 -4 -5 -8 -8 -5 0 -9 -7 -5 0 -9 -8 -5 0 -8 -8 -5 0
-8 -8 -5 -2 10 9 9 8 0 -3 -2 0 1 1 3 -3 -5 -8 -8 -5 0 -8 -8 -5 0 -8 -8 -5 0 -8 -8 -5 0
-9 -8 -5 -1 10 10 9 8 0 0 0 1 1 0 0 -3 -5 -8 -8 -5 0 -9 -8 -5 0 -7 -7 -5 0 -9 -8 -5 0
-9 -8 -5 0 10 10 9 9 0 0 0 1 1 1 0 -4 -6 -9 -8 -5 0 -9 -8 -5 0 -9 -9 -5 0 -9 -8 -5 0
-8 -7 -5 -2 10 9 9 8 -2 -1 -1 0 1 -1 0 -2 -6 -8 -7 -5 0 -8 -7 -5 0 -8 -8 -5 0 -8 -7 -5 0
-9 -8 -5 -1 10 10 9 8 0 -1 -1 0 1 0 1 -3 -6 -8 -8 -5 0 -9 -8 -5 0 -9 -9 -5 0 -9 -8 -5 0
-8 -8 -5 -1 10 9 9 8 0 -1 -1 0 1 -1 -2 -4 -6 -7 -7 -5 0 -8 -8 -5 0 -7 -7 -5 0 -8 -8 -5 0
-9 -8 -5 -1 10 9 9 8 0 0 -1 0 1 0 0 -3 -6 -8 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0
-8 -7 -5 -1 10 10 8 8 -1 0 0 0 0 0 1 -3 -6 -8 -7 -5 0 -7 -8 -5 0 -7 -7 -5 0 -8 -8 -5 0
-9 -8 -5 -1 10 9 9 8 0 -1 0 0 1 0 0 -4 -6 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0
-8 -7 -5 -1 9 10 9 8 -1 -1 -1 -1 0 0 -1 -4 -5 -8 -7 -5 0 -7 -7 -5 0 -7 -7 -5 0 -8 -7 -5 0
-8 -8 -5 -1 10 9 9 8 0 0 0 0 1 0 0 -3 -6 -8 -8 -5 0 -8 -8 -5 0 -8 -7 -5 0 -8 -7 -5 0
-9 -8 -5 -1 10 9 10 9 0 -2 -1 0 1 -2 0 -4 -6 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0
-9 -8 -5 -1 11 10 10 9 0 0 0 0 1 1 0 -3 -6 -8 -8 -5 0 -9 -8 -5 0 -8 -7 -5 0 -9 -8 -5 0
-9 -8 -5 -1 9 9 9 8 -1 -1 -1 0 0 0 0 -2 -5 -8 -8 -5 0 -8 -8 -5 0 -8 -7 -5 0 -8 -8 -5 0
-9 -8 -5 -1 9 10 9 8 0 0 0 1 1 0 0 -3 -7 -9 -8 -5 0 -9 -9 -5 0 -9 -9 -5 0 -9 -9 -5 0
-8 -8 -5 0 10 9 9 8 0 0 0 1 1 0 2 -4 -6 -8 -8 -5 0 -8 -8 -5 0 -8 -7 -5 0 -8 -7 -5 0
-8 -8 -5 -2 11 9 10 9 -4 -4 -1 0 0 -3 0 -4 -5 -8 -7 -5 0 -8 -7 -5 0 -8 -7 -5 0 -8 -8 -5 0
-8 -8 -5 -1 9 9 9 9 0 0 0 0 1 0 0 -3 -6 -8 -8 -5 0 -8 -8 -5 0 -8 -8 -5 0 -8 -8 -5 0
-8 -8 -5 0 10 9 9 8 0 0 0 1 1 1 1 -3 -6 -8 -8 -5 0 -8 -8 -5 0 -8 -8 -5 0 -8 -8 -5 0
-9 -8 -5 -1 10 10 8 8 0 -7 -1 0 0 0 1 -3 -6 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0
-9 -8 -5 -2 10 10 9 9 -3 -2 -2 -1 0 -2 0 -3 -6 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0 -9 -8 -5 0
