"U_1_Gam_alpha2F" "U_2_Gam_alpha2F" "U_5_Gam_alpha2F" "U_10_Gam_alpha2F" "U_1_Gam_alpha1F" "U_2_Gam_alpha1F" "U_5_Gam_alpha1F" "U_10_Gam_alpha1F" "U_1_Gam" "U_2_Gam" "U_5_Gam" "U_10_Gam" "Sylvia_Sparse" "FM_RevJump" "MBC" "DPM" "FM_Raffaele" "U_1_PC_alpha2F_01" "U_2_PC_alpha2F_01" "U_5_PC_alpha2F_01" "U_10_PC_alpha2F_01" "U_1_Gam_ProbKp_01" "U_2_Gam_ProbKp_01" "U_5_Gam_ProbKp_01" "U_10_Gam_ProbKp_01" "U_1_PC_alpha2F_09" "U_2_PC_alpha2F_09" "U_5_PC_alpha2F_09" "U_10_PC_alpha2F_09" "U_1_Gam_ProbKp_09" "U_2_Gam_ProbKp_09" "U_5_Gam_ProbKp_09" "U_10_Gam_ProbKp_09"
-1 0 0 0 12 11 11 10 0 0 0 0 1 0 0 -4 -1 0 0 0 5 -1 -1 0 5 0 0 0 1 0 -1 0 5
0 0 0 0 8 10 9 8 0 0 0 0 0 0 0 -4 -1 0 0 0 5 -3 0 0 5 0 0 0 0 0 0 0 1
-4 -1 0 0 11 12 11 10 0 0 0 1 1 0 0 -4 0 -3 0 0 5 -4 -1 0 5 0 -1 0 2 0 0 0 2
-1 -1 0 0 11 10 9 9 0 0 0 0 0 0 0 -4 -1 -1 -1 0 5 -1 -1 0 5 -1 -1 0 0 -1 -1 0 1
-1 -1 0 0 11 11 11 11 0 0 0 1 1 0 0 -4 -1 -4 -1 0 5 -1 -2 0 5 -1 0 0 1 -1 -2 0 5
-2 0 0 0 11 12 10 10 0 0 0 0 0 0 0 -4 -1 0 0 0 5 -1 0 0 5 -1 -1 0 1 0 0 0 5
0 0 0 0 11 12 10 9 0 0 0 0 1 0 0 -4 -1 0 0 0 5 0 -2 0 5 0 0 0 1 0 0 0 1
0 0 0 0 11 12 9 10 0 0 0 0 0 0 0 -4 -1 0 0 0 5 0 0 0 5 0 0 0 1 0 0 0 1
-3 -2 0 0 10 11 11 9 0 0 0 0 1 0 0 -4 -1 -2 -2 0 5 -3 -3 0 5 -3 -2 0 1 -3 -1 0 2
0 -1 0 0 11 11 10 10 0 0 0 0 0 0 0 -4 -1 -1 -3 0 5 -3 0 0 5 -1 0 0 1 -2 -1 0 1
-2 -1 0 0 10 11 11 10 0 0 0 0 0 0 0 -4 -1 -2 0 0 5 -2 -1 0 5 -2 -2 0 1 -2 -1 0 2
0 0 0 0 11 11 10 8 0 0 0 0 0 0 0 -4 -1 0 0 0 5 0 0 0 5 0 0 0 1 -1 0 0 1
-1 0 0 0 11 11 9 10 0 0 0 0 0 0 0 -4 0 0 0 0 5 0 0 0 5 0 0 0 0 0 0 0 1
0 0 0 0 11 10 9 9 0 0 0 0 0 0 0 -4 0 -1 0 0 5 0 0 0 5 -2 0 0 0 0 0 0 1
-1 0 0 0 11 11 10 10 0 0 0 0 0 0 0 -4 -1 0 0 0 5 0 0 0 5 0 0 0 1 0 0 0 1
-1 -1 0 0 11 11 9 9 0 0 0 0 1 0 0 -4 -1 -1 -1 0 5 -1 -1 0 5 0 -1 0 1 -1 -1 0 1
0 0 0 0 11 8 10 9 0 0 0 0 0 0 0 -4 -1 0 -1 0 5 0 0 0 5 0 0 0 1 0 0 0 1
-2 -1 0 0 11 10 12 11 0 0 0 0 1 0 0 -4 -1 0 0 0 5 -1 -1 0 5 -1 -3 0 2 -3 0 0 2
0 0 0 0 11 11 11 8 0 0 0 0 0 0 0 -4 -1 0 0 0 5 0 0 0 5 -3 -3 0 1 -3 -2 0 1
-3 -3 0 0 13 12 12 11 0 0 0 0 1 0 0 -4 -1 -3 -3 0 5 -3 -2 0 5 -3 -3 0 2 -3 -3 0 5
0 0 0 0 11 11 11 9 0 0 0 0 0 0 0 -4 -1 0 0 0 5 0 0 0 5 -3 0 0 1 0 0 0 1
0 0 0 0 11 12 11 10 0 0 0 0 0 0 0 -4 0 0 0 0 5 -1 0 0 5 -2 0 0 1 -1 0 0 1
-1 0 0 0 11 9 10 9 0 0 0 0 0 0 0 -4 -1 0 0 0 5 0 0 0 5 0 0 0 1 0 0 0 1
-1 -1 0 0 10 11 10 9 0 0 0 0 0 0 0 -4 -1 -1 -1 0 5 -1 -1 0 5 -1 -1 0 1 -1 -1 0 1
-2 0 0 0 11 12 11 10 0 0 0 0 1 0 0 -4 -1 -2 -1 0 5 -2 0 0 5 -1 -1 0 1 -2 0 0 5
0 0 0 0 11 11 10 10 0 0 0 0 0 0 0 -4 0 0 0 0 5 0 -2 0 5 0 -2 0 1 -2 -1 0 1
0 0 0 0 10 10 11 9 0 0 0 0 0 0 0 -4 -1 0 0 0 5 -2 0 0 5 0 0 0 1 0 0 0 1
-4 -2 0 1 12 12 11 11 0 0 0 1 1 0 0 -4 -1 -3 -2 0 5 -4 -2 0 5 -2 -1 0 2 -4 -1 0 5
-3 0 0 0 12 12 10 10 0 0 0 0 1 0 0 -4 -1 0 0 0 5 -3 0 0 5 -1 -1 0 1 0 -2 0 5
-2 0 0 0 11 11 12 9 0 0 0 0 0 0 0 -4 0 -1 -2 0 5 -1 -1 0 5 0 -1 0 1 0 -1 0 1
0 0 0 0 10 11 9 8 0 0 0 0 0 0 0 -4 -1 0 0 0 5 0 0 0 5 0 0 0 0 0 0 0 0
-1 -1 0 0 11 10 10 10 0 0 0 0 0 0 0 -4 -1 -2 -1 0 5 -1 -1 0 5 -1 -1 0 1 -1 -1 0 1
-1 -2 0 0 12 12 10 10 0 0 0 1 1 0 -1 -4 0 -2 -1 0 5 -1 -1 0 5 -1 -1 0 1 -1 -2 0 2
0 0 0 0 10 11 11 10 0 0 0 0 1 0 0 -4 -1 0 0 0 5 0 0 0 5 0 0 0 1 0 -1 0 1
-2 -2 0 0 11 12 11 10 0 0 0 0 1 0 0 -4 -1 -1 -2 0 5 -2 -2 0 5 -1 -2 0 1 0 -1 0 5
0 0 0 0 10 11 11 10 0 0 0 0 1 0 0 -4 -1 0 0 0 5 0 0 0 5 -2 0 0 1 0 0 0 5
-2 -2 0 0 12 11 10 10 0 0 0 0 1 0 0 -4 0 -2 -2 0 5 -2 -2 0 5 -2 -2 0 1 -2 -2 0 2
0 0 0 0 10 11 11 10 0 0 0 0 1 0 0 -4 -1 0 0 0 5 0 0 0 5 -4 0 0 1 0 0 0 1
-2 -2 0 0 11 11 9 9 0 0 0 0 0 0 0 -4 -1 -2 -2 0 5 0 -2 0 5 -2 -1 0 1 -2 0 0 1
0 -2 0 0 10 9 9 9 0 0 0 0 0 0 0 -4 -1 0 0 0 4 0 0 0 5 0 0 0 1 0 0 0 1
-3 -1 0 0 11 12 11 11 0 0 0 0 0 0 0 -4 -1 -1 -2 0 5 -2 -3 0 5 -2 -2 0 1 -2 -3 0 5
-2 0 0 0 12 11 11 11 0 0 0 1 1 0 0 -4 -1 0 0 0 5 -2 -1 0 5 -2 -2 0 1 -2 -2 0 5
-2 0 0 0 11 10 10 10 0 0 0 0 0 0 0 -4 -1 0 -1 0 5 0 0 0 5 0 -2 0 1 0 0 0 1
-3 0 0 0 12 11 10 10 0 0 0 1 1 0 0 -4 -1 -1 0 0 5 -2 0 0 5 -2 -2 0 2 -1 -1 0 5
0 0 0 0 10 11 10 9 0 0 0 0 0 0 0 -4 -1 0 0 0 5 0 0 0 5 -2 0 0 1 0 0 0 1
0 0 0 0 12 11 11 9 0 0 0 0 0 0 0 -4 0 0 -2 0 5 0 0 0 5 0 0 0 1 -1 0 0 1
