"U_1_Gam_alpha2F" "U_2_Gam_alpha2F" "U_5_Gam_alpha2F" "U_10_Gam_alpha2F" "U_1_Gam_alpha1F" "U_2_Gam_alpha1F" "U_5_Gam_alpha1F" "U_10_Gam_alpha1F" "U_1_Gam" "U_2_Gam" "U_5_Gam" "U_10_Gam" "Sylvia_Sparse" "FM_RevJump" "MBC" "DPM" "FM_Raffaele" "U_1_PC_alpha2F_01" "U_2_PC_alpha2F_01" "U_5_PC_alpha2F_01" "U_10_PC_alpha2F_01" "U_1_Gam_ProbKp_01" "U_2_Gam_ProbKp_01" "U_5_Gam_ProbKp_01" "U_10_Gam_ProbKp_01" "U_1_PC_alpha2F_09" "U_2_PC_alpha2F_09" "U_5_PC_alpha2F_09" "U_10_PC_alpha2F_09" "U_1_Gam_ProbKp_09" "U_2_Gam_ProbKp_09" "U_5_Gam_ProbKp_09" "U_10_Gam_ProbKp_09"
-1 0 0 0 1 2 1 1 0 0 0 0 0 NA NA -9 -4 -2 -4 0 0 -3 -1 0 0 -3 -1 0 0 -2 -2 0 0
-3 -2 0 0 3 4 3 3 0 0 0 0 0 NA NA -9 -3 -2 -1 0 0 -1 -2 0 0 -1 0 -1 0 -3 -1 0 0
0 -1 0 0 1 1 1 1 0 0 0 0 0 NA NA -9 -5 0 -1 0 0 0 0 0 0 -1 -1 0 0 -1 -1 0 0
-2 -1 0 0 1 1 1 1 0 0 0 0 0 NA NA -9 -4 -3 -2 -1 0 -1 -1 0 0 -2 0 0 0 0 -1 0 0
-2 -2 0 0 4 4 4 4 0 0 1 0 0 NA NA -9 -5 0 -1 0 0 -1 -2 -1 0 -2 -3 0 0 -2 -3 -1 0
0 -1 0 0 1 1 1 1 0 0 0 0 0 NA NA -9 -4 0 0 0 0 0 -1 0 0 0 0 0 0 -1 -1 0 0
0 -2 0 0 0 1 0 0 0 0 0 0 0 NA NA -9 -4 -1 -2 0 0 -2 -1 0 0 -1 0 0 0 -1 -2 0 0
-1 0 0 0 3 3 3 2 0 0 0 0 0 NA NA -9 -4 -2 -1 0 0 -1 -1 0 0 -1 0 -1 0 -3 -1 0 0
-1 -2 -1 0 2 0 2 0 0 0 0 0 0 NA NA -9 -4 -1 0 0 0 -1 -2 0 0 -2 -1 0 0 -2 -1 0 0
-2 -1 0 0 1 1 1 1 0 0 0 0 0 NA NA -9 -4 -1 -1 0 0 -2 -2 0 0 -2 0 0 0 -1 -1 0 0
-1 0 -1 0 3 4 4 4 0 0 0 0 0 NA NA -9 -4 -1 -1 -1 0 -2 -1 -1 0 -1 -3 0 0 -3 0 -2 0
-1 0 0 0 1 1 1 1 0 0 0 0 0 NA NA -9 -4 -1 0 0 0 -3 -1 -1 0 0 -1 0 0 -2 -1 -1 0
